index,x,y,z,vx,vy,vz
54,39.0862,22.7782,42.0002,0.567012,-0.369572,1.09e-05
55,39.0796,22.7865,42.0002,0.588296,-0.383623,1.15e-05
56,39.0718,22.8031,42.0002,0.609713,-0.397776,1.21e-05
57,39.0629,22.8114,42.0002,0.631242,-0.412019,1.28e-05
58,39.0551,22.8281,42.0002,0.652862,-0.426339,1.34e-05
59,39.0462,22.8364,42.0002,0.674551,-0.440721,1.41e-05
60,39.0374,22.853,42.0002,0.696288,-0.455153,1.47e-05
61,39.0285,22.8697,42.0002,0.718051,-0.46962,1.54e-05
62,39.0185,22.8863,42.0002,0.739821,-0.484111,1.61e-05
63,39.0085,22.8946,42.0002,0.761574,-0.49861,1.69e-05
64,38.9985,22.9112,42.0002,0.78329,-0.513105,1.76e-05
65,38.9885,22.9279,42.0002,0.804949,-0.527583,1.84e-05
66,38.9774,22.9445,42.0002,0.826529,-0.542029,1.92e-05
67,38.9674,22.9611,42.0002,0.848009,-0.556432,2e-05
68,38.9552,22.9778,42.0002,0.869369,-0.570779,2.08e-05
69,38.9441,22.9944,42.0002,0.890588,-0.585055,2.17e-05
70,38.9318,23.011,42.0002,0.911647,-0.599249,2.25e-05
71,38.9207,23.036,42.0002,0.932525,-0.613347,2.34e-05
72,38.9074,23.0526,42.0002,0.953204,-0.627338,2.43e-05
73,38.8952,23.0692,42.0002,0.973663,-0.641209,2.52e-05
74,38.8819,23.0942,42.0002,0.993884,-0.654948,2.61e-05
75,38.8696,23.1108,42.0002,1.01385,-0.668543,2.71e-05
76,38.8552,23.1275,42.0002,1.03354,-0.681983,2.8e-05
77,38.8419,23.1524,42.0002,1.05293,-0.695255,2.9e-05
78,38.8274,23.169,42.0002,1.07202,-0.70835,3e-05
79,38.8141,23.194,42.0002,1.09078,-0.721255,3.1e-05
80,38.7997,23.2189,42.0002,1.10919,-0.73396,3.21e-05
81,38.7841,23.2356,42.0002,1.12725,-0.746455,3.31e-05
82,38.7697,23.2605,42.0002,1.14493,-0.758729,3.42e-05
83,38.7541,23.2855,42.0002,1.16222,-0.770773,3.52e-05
