t,Px,Py,Pz,yaw,vn,ve,vd,an,ae,ad
7.95000000,-4.443328,15.266527,-3.975000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.00000000,-4.471273,15.362543,-4.000000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.05000000,-4.499219,15.458559,-4.025000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.10000000,-4.527164,15.554574,-4.050000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.15000000,-4.555110,15.650590,-4.075000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.20000000,-4.583055,15.746606,-4.100000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.25000000,-4.611000,15.842622,-4.125000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.30000000,-4.638946,15.938638,-4.150000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.35000000,-4.666891,16.034654,-4.175000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.40000000,-4.694837,16.130670,-4.200000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.45000000,-4.722782,16.226686,-4.225000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.50000000,-4.750728,16.322702,-4.250000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.55000000,-4.778673,16.418717,-4.275000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.60000000,-4.806619,16.514733,-4.300000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.65000000,-4.834564,16.610749,-4.325000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.70000000,-4.862510,16.706765,-4.350000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.75000000,-4.890455,16.802781,-4.375000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.80000000,-4.918400,16.898797,-4.400000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.85000000,-4.946346,16.994813,-4.425000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.90000000,-4.974291,17.090829,-4.450000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
8.95000000,-5.002237,17.186845,-4.475000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.00000000,-5.030182,17.282860,-4.500000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.05000000,-5.058128,17.378876,-4.525000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.10000000,-5.086073,17.474892,-4.550000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.15000000,-5.114019,17.570908,-4.575000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.20000000,-5.141964,17.666924,-4.600000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.25000000,-5.169910,17.762940,-4.625000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.30000000,-5.197855,17.858956,-4.650000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.35000000,-5.225800,17.954972,-4.675000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
9.40000000,-5.253746,18.050988,-4.700000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
