index,x,y,z,vx,vy,vz
207,27.7982,23.1109,42.0001,-2.04885,-3,-0.000179153
208,27.7382,23.0693,42.0001,-2.06666,-3,-0.000166779
209,27.6783,23.0277,42.0001,-2.08463,-3,-0.000157571
210,27.6183,22.9861,42.0001,-2.10278,-3,-0.000140646
211,27.5583,22.9445,42.0001,-2.12122,-3,-0.000123073
212,27.4983,22.903,42.0001,-2.14001,-3,-0.000111465
213,27.4384,22.8531,42.0001,-2.15899,-3,-9.39e-05
214,27.3784,22.8115,42.0001,-2.17777,-3,-8.23e-05
215,27.3184,22.7699,42.0001,-2.19566,-3,-7.06e-05
216,27.2584,22.7283,42.0001,-2.2128,-3,-4.77e-05
217,27.1984,22.6784,42.0001,-2.22942,-3,-4.17e-05
218,27.1385,22.6368,42.0001,-2.24536,-3,-2.38e-05
219,27.0785,22.587,42.0001,-2.26054,-3,-1.19e-05
220,27.0185,22.5454,42.0001,-2.27495,-3,-5.96e-06
221,26.9585,22.4955,42.0001,-2.28841,-3,1.19e-05
222,26.8986,22.4539,42.0001,-2.301,-3,2.38e-05
223,26.8386,22.404,42.0001,-2.31278,-3,2.98e-05
224,26.7786,22.3624,42.0001,-2.32379,-3,4.17e-05
225,26.7186,22.3125,42.0001,-2.334,-3,4.77e-05
226,26.6586,22.2709,42.0001,-2.34367,-3,5.96e-05
227,26.5987,22.221,42.0001,-2.35265,-3,6.56e-05
228,26.5387,22.1711,42.0001,-2.36091,-3,7.15e-05
229,26.4787,22.1296,42.0001,-2.36863,-3,7.79e-05
230,26.4187,22.0797,42.0001,-2.37586,-3,8.56e-05
231,26.3588,22.0298,42.0001,-2.38263,-3,9.17e-05
232,26.2988,21.9799,42.0001,-2.38884,-3,9.18e-05
233,26.2388,21.9383,42.0001,-2.39444,-3,0.000103809
234,26.1788,21.8884,42.0001,-2.39938,-3,9.79e-05
235,26.1188,21.8385,42.0001,-2.40365,-3,0.000109937
236,26.0589,21.7886,42.0001,-2.40708,-3,0.00011001
237,25.9989,21.7387,42.0001,-2.40984,-3,0.000110074
238,25.9389,21.6971,42.0001,-2.41186,-3,0.000110129
239,25.8789,21.6472,42.0001,-2.41308,-3,0.000116138
240,25.819,21.5973,42.0001,-2.4136,-3,0.000110218
241,25.759,21.5474,42.0001,-2.41346,-3,0.000116211
242,25.699,21.4975,42.0001,-2.41251,-3,0.000116235
243,25.639,21.456,42.0001,-2.41087,-3,0.000110292
244,25.5779,21.4061,42.0001,-2.40854,-3,0.000110288
245,25.518,21.3562,42.0001,-2.40558,-3,0.000110228
246,25.458,21.3063,42.0001,-2.40207,-3,0.000104149
247,25.398,21.2564,42.0001,-2.39789,-3,0.00010216
248,25.338,21.2148,42.0001,-2.39321,-3,9.54e-05
249,25.278,21.1649,42.0001,-2.38822,-3,9.54e-05
250,25.2181,21.115,42.0001,-2.383,-3,8.34e-05
251,25.1581,21.0734,42.0001,-2.37743,-3,8.34e-05
252,25.0981,21.0235,42.0001,-2.37156,-3,8.34e-05
253,25.0381,20.9736,42.0001,-2.3654,-3,7.15e-05
254,24.9782,20.9237,42.0001,-2.35903,-3,7.15e-05
255,24.9182,20.8822,42.0001,-2.35249,-3,5.96e-05
256,24.8582,20.8323,42.0001,-2.3458,-3,5.96e-05
257,24.7982,20.7907,42.0001,-2.33888,-3,5.44e-05
258,24.7382,20.7408,42.0001,-2.33178,-3,5.06e-05
259,24.6783,20.6909,42.0001,-2.32464,-3,3.81e-05
260,24.6183,20.6493,42.0001,-2.31747,-3,3.58e-05
261,24.5583,20.5994,42.0001,-2.31042,-3,2.93e-05
262,24.4983,20.5578,42.0001,-2.30326,-3,3.03e-05
263,24.4384,20.5079,42.0001,-2.29616,-3,1.19e-05
264,24.3784,20.4664,42.0001,-2.28916,-3,1.19e-05
265,24.3184,20.4165,42.0001,-2.28238,-3,1.19e-05
266,24.2584,20.3749,42.0001,-2.27591,-3,1.19e-05
267,24.1984,20.325,42.0001,-2.26965,-3,-4.06e-06
268,24.1385,20.2834,42.0001,-2.26366,-3,-7.86e-06
269,24.0785,20.2335,42.0001,-2.25804,-3,-1.19e-05
270,24.0185,20.1919,42.0001,-2.2527,-3,-2.38e-05
271,23.9585,20.1503,42.0001,-2.24768,-3,-2.38e-05
272,23.8986,20.1005,42.0001,-2.2429,-3,-2.38e-05
273,23.8386,20.0589,42.0001,-2.23844,-3,-2.38e-05
274,23.7786,20.009,42.0001,-2.23429,-3,-3.58e-05
275,23.7186,19.9674,42.0001,-2.23047,-3,-3.58e-05
276,23.6586,19.9258,42.0001,-2.22698,-3,-3.58e-05
277,23.5987,19.8759,42.0001,-2.22383,-3,-3.58e-05
278,23.5387,19.8343,42.0001,-2.221,-3,-3.58e-05
